drug_id,drug_name,generic_names,trade_names,drug_type
PA166362422,vanzacaftor,"(14S)-8-[3-(2-dispiro[2.0.24.13]heptan-7-ylethoxy)pyrazol-1-yl]-12,12-dimethyl-2,2-dioxo-2lambda6-thia-3,9,11,18,23-pentazatetracyclo[17.3.1.111,14.05,10]tetracosa-1(22),5(10),6,8,19(23),20-hexaen-4-one",Unknown,Drug
PA166362502,vanzacaftor / tezacaftor / deutivacaftor,Unknown,Alyftrek,Drug
PA164743146,vapreotide,"RC-160, Vapreotida [INN-Spanish], Vapreotide acetate, Vapreotidum [inn-latin], bmy 41606, octastatin, vapreotide","Sanvar, Sanvar IR",Drug
PA10229,vardenafil,VDN,Levitra,Drug
PA164781343,varenicline,"""CP-526,555"", ""Varenicline tartrate"", ""varenicline""","Champix, Chantix",Drug
PA164713379,Varicella zoster vaccines,Unknown,Unknown,Drug Class
PA164713380,Various,Unknown,Unknown,Drug Class
PA164713381,Various alimentary tract and metabolism products,Unknown,Unknown,Drug Class
PA164713382,Various diagnostic radiopharmaceuticals,Unknown,Unknown,Drug Class
PA164713383,Various pain palliation radiopharmaceuticals,Unknown,Unknown,Drug Class
PA164713384,Various therapeutic radiopharmaceuticals,Unknown,Unknown,Drug Class
PA164713385,Various thyroid diagnostic radiopharmaceuticals,Unknown,Unknown,Drug Class
PA166305901,Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors,VEGFR inhibitors,Unknown,Drug Class
PA164713386,Vasodilators Used In Cardiac Diseases,Unknown,Unknown,Drug Class
PA451858,vasopressin,"""3-Isoleucyl vasopressin"", ""Arginine oxytocin"", ""Arginine vasotocin"", ""Argiprestocin"", ""Pitressin tannate"", ""Vasopressin, isoleucyl"", ""Vasopressin, non-mammalian"", ""Vasotocin""","Pitressin, Pressyn",Drug
PA164713387,Vasopressin and analogues,Unknown,Unknown,Drug Class
PA164713388,Vasopressin antagonists,Unknown,Unknown,Drug Class
PA164713389,Vasoprotectives,Unknown,Unknown,Drug Class
PA7001,vatalanib,PTK787,Unknown,Drug
PA166364441,vatiquinone,"2-[(3R,6E,10E)-3-hydroxy-3,7,11,15-tetramethylhexadeca-6,10,14-trienyl]-3,5,6-trimethylcyclohexa-2,5-diene-1,4-dione",Unknown,Drug
PA164748865,vecuronium,Unknown,Unknown,Drug
PA166427061,vedolizumab,Entyvio,Unknown,Drug
PA166306001,VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors,anti-VEGF antibodies,Unknown,Drug Class
PA166115366,velaglucerase alfa,Unknown,VPRIV,Drug
PA166131609,veliparib,Unknown,Unknown,Drug
PA166163415,velpatasvir,Unknown,Unknown,Drug
PA165946873,vemurafenib,PLX4032,Zelboraf,Drug
PA166153473,venetoclax,Unknown,"ABT-199, Venclexta",Drug
PA451866,venlafaxine,"Venlafaxina [INN-Spanish], Venlafaxine [INN:Ban], Venlafaxinum [INN-Latin]","Effexor, Effexor XR, Elafax",Drug
PA166416681,vepdegestrant,"""(3S)-3-[6-[4-[[1-[4-[(1R,2S)-6-hydroxy-2-phenyl-1,2,3,4-tetrahydronaphthalen-1-yl]phenyl]piperidin-4-yl]methyl]piperazin-1-yl]-3-oxo-1H-isoindol-2-yl]piperidine-2,6-dione"", ""arv-471""",Unknown,Drug
PA451868,verapamil,"Verapamil HCl, Verapamil [Usan:Ban:Inn], Verapamilo [INN-Spanish], Verapamilum [INN-Latin]","Apo-Verap, Arpamyl, Berkatens, Calan, Calan SR, Cardiagutt, Cardibeltin, Cordilox, Covera-HS, Dignover, Dilacoran, Drosteakard, Geangin, Iproveratril, Isoptimo, Isoptin, Isoptin SR, NU-Verap, Novo-Veramil, Quasar, Securon, Univer, Vasolan, Veracim, Veramex, Veraptin, Verelan, Verelan PM, Verexamil",Drug
